fraction,n_train,nn_one_step_rmse,nn_rollout_rmse,nn_train_time,kernel_one_step_rmse,kernel_rollout_rmse,kernel_train_time
1.0,6750,0.005331393429092058,0.0731876178480957,0.48326304199999015,0.0029982726086441583,0.02245398293116148,6.901767875000004
0.5,3375,0.00643729495890552,0.05373956729809667,0.6868902079999941,0.003612113928187193,0.013424022735117065,3.0959502919999977
0.2,1350,0.00840697570311649,0.25651100158812096,0.3566023329999979,0.006271338993656799,0.06796035256976549,0.5275868749999972
0.1,675,0.017190858188185276,0.1284024500443115,0.24372562499999617,0.01833999874700687,0.08039256021791438,0.4520280420000091
