method,tracking_rmse,residual_tremor_rms,control_effort,max_abs_control,n_violations
uncontrolled,0.2924957735776372,0.00017971261832885034,0.0,,
pole_placement,0.046645601930424614,0.0008274861542270835,245.66667421501484,,
lqr,0.04617679448189664,0.0007237156385732865,223.25110469504392,,
lqr_saturated,0.1013408043970295,0.00030816330670207245,118.36692149177983,1.0,0.0
mpc,0.09999272025774299,0.00030676484141764184,125.73188284059356,1.0,0.0
